Symbol,WinRate,Returns,Actual_Ret,Prev_Volatility,Prev_Returns_CAGR,Previous_Sharpe,No.,CAGR,Vol,Sharpe,Drawdown,Calmar
IPCALAB,73.33333333,2.334135851,3.33765947,0.339269102,17.76753155,0.376324619,15,10.00076597,22.6636093,0.22065179,11.44765692,0.873608114
KPRMILL,80,4.026862051,5.958173119,0.339561839,18.32019997,0.392276116,15,16.95758436,31.26129392,0.38250446,19.34363721,0.876649214
BIOCON,64.28571429,0.839492469,1.008972268,0.341687224,15.26098762,0.30030352,14,-1.9481697,23.13872894,-0.300283119,55.57117561,-0.035057198
PHOENIXLTD,73.33333333,5.921452224,5.279775431,0.342202046,4.959155878,-0.001193567,15,22.14041726,41.19785562,0.4160512,19.32304457,1.145803767
JBCHEPHARM,82.35294118,10.01003155,11.11561213,0.342983627,13.56102374,0.249604444,17,29.56830131,45.9931781,0.534172726,19.3440195,1.528550015
KTKBANK,66.66666667,2.63485261,1.90060485,0.343471787,10.44095968,0.158410672,15,11.51003816,30.45066022,0.213789721,27.56984025,0.417486574
VOLTAS,100,1.661358159,2.156613052,0.344532188,52.21786885,1.370492235,6,5.874421488,9.035932173,0.096771586,0,inf
ADANIPORTS,76.92307692,2.658161701,3.801270239,0.344624205,6.709542339,0.049605986,13,11.6205332,25.00328211,0.264786566,19.3147159,0.601641425
BEL,71.42857143,4.375274904,6.079710115,0.344685729,17.39845949,0.359703302,21,18.05405861,38.36382785,0.340269971,29.80242254,0.605791646
PEL,64.28571429,1.556842667,0.539185566,0.344710185,18.81649894,0.400814932,14,5.10366996,34.47388006,0.003007203,43.46429697,0.117422121
BAJFINANCE,75,4.259375272,3.490140919,0.34485633,46.24335618,1.195957637,12,17.69819989,37.37630054,0.339739346,11.4167559,1.550195173
AUROPHARMA,58.82352941,1.026127588,1.926576385,0.345108293,24.07981638,0.552864617,17,0.29045258,33.25327202,-0.141626587,58.50875346,0.004964259
FEDERALBNK,80,2.336170839,1.625630763,0.345269575,14.15167485,0.265058827,10,10.01154606,24.04112767,0.208457196,19.33830199,0.517705539
SOUTHBANK,55.55555556,3.723204308,1.048923681,0.345517971,12.06065147,0.20434976,18,15.93097469,43.55970875,0.250942327,20.52906745,0.776020378
GODREJPROP,75,3.104994529,3.810022033,0.345677028,11.52303358,0.188703126,16,13.58791887,41.48321918,0.207021515,49.71296077,0.273327492
